station_id,flag,note
DESM_DEBB5530302,mining,Schwarze Elster im Lausitzer Revier: Suempfungswasser und Restseeflutung (Senftenberger/Bergheider See)
DESM_DEBB5530302,reservoir,"bemerkung: ""unterhalb Talsperre"" - Speicherbecken/Talsperre im Lausitzer Wasserverbundsystem unmittelbar oberhalb"
DESM_DEBB5530500,mining,"Schwarze Elster, Lausitzer Revier - Suempfungswasser und Speicherbewirtschaftung der LMBV; regelmaeszige Trockenfallstrecken infolge Grundwasserwiederanstieg"
DESM_DEBB5824700,mining,"Spree unterhalb des Lausitzer Reviers: der Spreeabfluss wird seit Jahrzehnten durch Suempfungswasser gestuetzt und ueber LMBV-Speicher (Spremberg, Bautzen, Quitzdorf) niedrigwasserbewirtschaftet - der markanteste Homogenitaetsbruch im Datensatz"
DESM_DEBB5824700,reservoir,"bemerkung: ""stromunterhalb Talsperre, durch Stauhaltung beeinflusst"" (Talsperre Spremberg)"
DESM_DEBB5825500,mining,"Spree unterhalb Lausitzer Revier, siehe Leibsch; bemerkung: ""durch Stauhaltung beeinflusst"""
DESM_DEBB5827000,mining,"Mueggelspree unterhalb Lausitzer Revier; bemerkung: ""durch Stauhaltung beeinflusst"""
DESM_DEBB5827000,transfer,Pegel Hohenbinde liegt in derselben staugeregelten Wasserstrasze wie Grosze Traenke (Spree-Oder-Wasserstrasze/Mueggelspree); Abflussaufteilung durch Schleusen- und Wehrbetrieb gesteuert
DESM_DEBB5861600,mining,unsicher: uebergeleitetes Spreewasser traegt Lausitzer Bergbauwasser (Vorbehalt: Anteil variabel)
DESM_DEBB5861600,transfer,Pegel am Dahme-Umflutkanal-Auslauf Maerkisch Buchholz: Spreewasser wird gezielt in die Dahme uebergeleitet
DESM_DEBB5873301,erosion,"bemerkung: Q-Anlage an anderer Stelle als die Vorgaengermessstelle - Standortwechsel, W erst ab AJ 2018"
DESM_DEBB6602600,mining,Neisze unterhalb Turow und Berzdorf; zusaetzlich Bergbaueinfluesse im polnischen Teileinzugsgebiet
DESM_DEBB6940000,transfer,"Wriezener Alte Oder: Oderbruch-Meliorationssystem, Abfluss durch Einlassbauwerke, Wehre und Schoepfwerke vollstaendig gesteuert; bemerkung: ""durch Stauhaltung beeinflusst"""
DESM_DEBE5827700,mining,Spree in Berlin - der Berliner Niedrigwasserabfluss stammt zu erheblichen Teilen aus Lausitzer Suempfungs-/Flutungswasser
